职位,公司名称,地址,经度,纬度,网址
仓库管理员（物业管理）,天津嘉里中心,天津嘉里中心,117.2231938,39.13351056,https://jobs.51job.com/tianjin/76202034.html?s=01&t=0
汽车配件专员（利星行天津之星奔驰）,天津之星汽车维修服务有限公司,天津市（空港/西青大寺）,117.1262013,39.03506461,https://jobs.51job.com/tianjin/78147077.html?s=01&t=0
成品库管理员,天津创铭铝制品有限公司,天津北辰区陆路港物流装备园五纬路2号,117.3242313,39.25503785,https://jobs.51job.com/tianjin/81546588.html?s=01&t=0
库管,天津创铭铝制品有限公司,天津北辰区陆路港物流装备园五纬路2号,117.3242313,39.25503785,https://jobs.51job.com/tianjin/81664271.html?s=01&t=0
仓管员,林孚克斯（上海）道路运输有限公司天津分公司,天津北辰区小淀开发区高新大道69号沃尔玛配送中心三期,117.2775922,39.23984831,https://jobs.51job.com/tianjin/83550437.html?s=01&t=0
仓库管理员,天津市中科健新材料技术有限公司,东丽区五纬路58号,117.3623815,39.06690153,https://jobs.51job.com/tianjin/83933695.html?s=01&t=0
药品验收员（双休/五险一金/住宿补贴）,111集团（1药网）,空港区,117.2108131,39.1439299,https://jobs.51job.com/tianjin/86439375.html?s=01&t=0
物流专员,天津菱华国际贸易有限公司,天津市空港经济区西四道168号融合广场1号楼1门4层,117.420079,39.16042451,https://jobs.51job.com/tianjin/86711197.html?s=01&t=0
包装工（残疾人优先）,天津福乐尔科技发展有限公司,天津市西青区学府西路2号东区D3号厂房A座1楼,117.0919398,39.05574258,https://jobs.51job.com/tianjin/87776093.html?s=01&t=0
仓库管理员,天津市汇点机电设备开发有限公司,北辰区小淀工业园区,117.2350979,39.26476703,https://jobs.51job.com/tianjin/89489079.html?s=01&t=0
仓库主管,天津市迅尔仪表科技有限公司,天津市西青区中北工业园（北园）阜锦路外环实业园区12号,117.1048466,39.15206049,https://jobs.51job.com/tianjin/91008842.html?s=01&t=0
送货司机,天津顶立酒业有限公司,河东区十一经路58号院 市区办事处,117.2417209,39.13054278,https://jobs.51job.com/tianjin/91325422.html?s=01&t=0
物流担当 (编号90374) 日语必须,上海艾杰飞人力资源有限公司,天津,117.2108131,39.1439299,https://jobs.51job.com/tianjin/91336366.html?s=01&t=0
仓储经理,北京小易到家电子商务有限公司,天津市和平区南京路131号富玛特大厦A座1101室,117.2074911,39.12335868,https://jobs.51job.com/tianjin/91375063.html?s=01&t=0
仓库管理员,北京小易到家电子商务有限公司,天津市和平区南京路131号富玛特大厦A座1101室,117.2074911,39.12335868,https://jobs.51job.com/tianjin/91376314.html?s=01&t=0
仓库管理员,天津立欣电子科技有限公司,天津西青区星光路27号-3-2楼,117.0781729,39.1459871,https://jobs.51job.com/tianjin/91408157.html?s=01&t=0
实习生(职位编号：3362448),天津立欣电子科技有限公司,天津西青区星光路27号-3-2楼,117.0781729,39.1459871,https://jobs.51job.com/tianjin/92486138.html?s=01&t=0
仓库经理,北京小易到家电子商务有限公司,天津市和平区南京路131号富玛特大厦A座1101室,117.2074911,39.12335868,https://jobs.51job.com/tianjin/93040608.html?s=01&t=0
仓储专员,北京小易到家电子商务有限公司,天津,117.2108131,39.1439299,https://jobs.51job.com/tianjin/93040782.html?s=01&t=0
仓库经理,北京小易到家电子商务有限公司,天津市和平区南京路131号富玛特大厦A座1101室,117.2074911,39.12335868,https://jobs.51job.com/tianjin/93054009.html?s=01&t=0
