始发站,终点站,货物,日期,网址
北京,内蒙古鄂尔多斯准格尔旗,设备,2018-10-12,http://www.56135.com/huoyuan/I9453495.html
北京,西藏日喀则,重货,2018-10-12,http://www.56135.com/huoyuan/I9453491.html
北京,江西南昌,None,2018-10-12,http://www.56135.com/huoyuan/I9453291.html
北京,河南郑州,None,2018-10-12,http://www.56135.com/huoyuan/I9453290.html
北京顺义,上海嘉定,普货,2018-10-12,http://www.56135.com/huoyuan/I9453248.html
北京顺义,河北唐山丰润,普货,2018-10-12,http://www.56135.com/huoyuan/I9453197.html
北京房山,北京,剪切料,2018-10-12,http://www.56135.com/huoyuan/I9453093.html
北京密云,山东泰安,普货,2018-10-12,http://www.56135.com/huoyuan/I9452963.html
北京,湖北武汉,普货,2018-10-12,http://www.56135.com/huoyuan/I9452957.html
北京,广东广州,普货,2018-10-12,http://www.56135.com/huoyuan/I9452955.html
北京,山西太原,普货,2018-10-12,http://www.56135.com/huoyuan/I9452953.html
北京,四川成都,普货,2018-10-12,http://www.56135.com/huoyuan/I9452945.html
北京顺义,江苏扬州,None,2018-10-12,http://www.56135.com/huoyuan/I9452941.html
北京,甘肃兰州,None,2018-10-12,http://www.56135.com/huoyuan/I9452934.html
北京,河北承德,泡货,2018-10-12,http://www.56135.com/huoyuan/I9452765.html
北京,青海西宁,普货,2018-10-12,http://www.56135.com/huoyuan/I9452733.html
北京,河南郑州,普货,2018-10-12,http://www.56135.com/huoyuan/I9452562.html
北京大兴,河北张家口,钢材,2018-10-12,http://www.56135.com/huoyuan/I9452513.html
北京怀柔,新疆和田,羊,2018-10-12,http://www.56135.com/huoyuan/I9452434.html
北京,陕西西安,普货,2018-10-12,http://www.56135.com/huoyuan/I9452241.html
北京,四川成都,普货,2018-10-12,http://www.56135.com/huoyuan/I9452240.html
北京,安徽合肥,普货,2018-10-12,http://www.56135.com/huoyuan/I9452239.html
北京大兴,江西南昌,普货,2018-10-12,http://www.56135.com/huoyuan/I9452237.html
北京顺义,河南南阳,普货,2018-10-12,http://www.56135.com/huoyuan/I9452231.html
北京海淀,北京通州,普货,2018-10-12,http://www.56135.com/huoyuan/I9452102.html
