始发地,目的地,货物类型,日期,网址
四川成都,北京,萝卜,2018/3/23,http://www.56135.com/huoyuan/I6320340.html
福建漳州诏安,北京,普货,2018/3/23,http://www.56135.com/huoyuan/I6320293.html
吉林,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6320186.html
辽宁盘锦,北京,化工,2018/3/23,http://www.56135.com/huoyuan/I6320174.html
辽宁盘锦,北京,化工,2018/3/23,http://www.56135.com/huoyuan/I6320143.html
福建漳州,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6320071.html
湖北黄冈麻城,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6320029.html
湖北武汉江岸,北京通州,None,2018/3/23,http://www.56135.com/huoyuan/I6319969.html
湖北襄阳枣阳,北京通州,None,2018/3/23,http://www.56135.com/huoyuan/I6319963.html
内蒙古鄂尔多斯杭锦旗,北京,石脑油,2018/3/23,http://www.56135.com/huoyuan/I6319932.html
河北唐山迁安,北京昌平,沙子,2018/3/23,http://www.56135.com/huoyuan/I6319828.html
河北唐山迁安,北京通州,石子,2018/3/23,http://www.56135.com/huoyuan/I6319827.html
河北唐山迁安,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6319824.html
河北唐山迁安,北京大兴,石子,2018/3/23,http://www.56135.com/huoyuan/I6319823.html
河北唐山迁安,北京房山,小石子,2018/3/23,http://www.56135.com/huoyuan/I6319822.html
湖南常德石门,北京昌平,打包砖,2018/3/23,http://www.56135.com/huoyuan/I6319821.html
湖南常德石门,北京大兴,打包砖,2018/3/23,http://www.56135.com/huoyuan/I6319820.html
湖南常德石门,北京房山,打包砖,2018/3/23,http://www.56135.com/huoyuan/I6319819.html
湖南常德石门,北京通州,打包砖,2018/3/23,http://www.56135.com/huoyuan/I6319818.html
湖南常德石门,北京平谷,打包砖,2018/3/23,http://www.56135.com/huoyuan/I6319817.html
湖南常德石门,北京石景山,打包砖,2018/3/23,http://www.56135.com/huoyuan/I6319816.html
湖南常德石门,北京怀柔,打包砖,2018/3/23,http://www.56135.com/huoyuan/I6319814.html
河南漯河,北京密云,None,2018/3/23,http://www.56135.com/huoyuan/I6319553.html
浙江温州,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6319547.html
广东汕头,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6319503.html
四川凉山,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6319502.html
湖北随州,北京昌平,None,2018/3/23,http://www.56135.com/huoyuan/I6319473.html
湖北黄冈团风,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6319466.html
湖北襄阳南漳,北京昌平,None,2018/3/23,http://www.56135.com/huoyuan/I6319462.html
内蒙古,北京房山,None,2018/3/23,http://www.56135.com/huoyuan/I6319369.html
山西大同,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6319331.html
内蒙古鄂尔多斯杭锦旗,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6319315.html
内蒙古鄂尔多斯杭锦旗,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6319219.html
山东烟台,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6319173.html
内蒙古包头,北京,钢材,2018/3/23,http://www.56135.com/huoyuan/I6319068.html
山西晋城高平,北京大兴,货,2018/3/23,http://www.56135.com/huoyuan/I6319043.html
河北保定蠡县,北京昌平,货,2018/3/23,http://www.56135.com/huoyuan/I6318838.html
河北石家庄,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6318837.html
河南南阳,北京,花生米,2018/3/23,http://www.56135.com/huoyuan/I6318800.html
河北保定,北京昌平,货,2018/3/23,http://www.56135.com/huoyuan/I6318799.html
广东中山,北京,百货,2018/3/23,http://www.56135.com/huoyuan/I6318643.html
河南郑州,北京,普货,2018/3/23,http://www.56135.com/huoyuan/I6318616.html
宁夏银川,北京房山,甲醇,2018/3/23,http://www.56135.com/huoyuan/I6318582.html
云南保山,北京,豆角,2018/3/23,http://www.56135.com/huoyuan/I6318518.html
山西运城,北京,水果,2018/3/23,http://www.56135.com/huoyuan/I6318459.html
四川成都,北京,水果,2018/3/23,http://www.56135.com/huoyuan/I6318458.html
山东滨州惠民,北京昌平,树苗,2018/3/23,http://www.56135.com/huoyuan/I6318066.html
新疆阿拉尔,北京昌平,棉粕,2018/3/23,http://www.56135.com/huoyuan/I6317974.html
山东东营广饶,北京朝阳,柴油,2018/3/23,http://www.56135.com/huoyuan/I6317935.html
云南保山,北京,绿通,2018/3/23,http://www.56135.com/huoyuan/I6317920.html
广西崇左凭祥,北京,鱼,2018/3/23,http://www.56135.com/huoyuan/I6317798.html
四川遂宁大英,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6317573.html
山东潍坊,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6317465.html
广东深圳,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6317455.html
江苏苏州,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6317453.html
陕西榆林府谷,北京朝阳,煤炭,2018/3/23,http://www.56135.com/huoyuan/I6317421.html
广东佛山,北京,快递,2018/3/23,http://www.56135.com/huoyuan/I6317301.html
福建福州,北京,普货,2018/3/23,http://www.56135.com/huoyuan/I6317212.html
福建厦门,北京,绿通,2018/3/23,http://www.56135.com/huoyuan/I6317208.html
陕西榆林,北京房山,国五石脑油,2018/3/23,http://www.56135.com/huoyuan/I6317194.html
浙江嘉兴,北京,普货,2018/3/23,http://www.56135.com/huoyuan/I6317193.html
河北唐山迁安,北京昌平,螺纹钢,2018/3/23,http://www.56135.com/huoyuan/I6317148.html
山西吕梁孝义,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6317082.html
天津武清,北京,普货,2018/3/23,http://www.56135.com/huoyuan/I6317079.html
广东汕尾,北京,普货,2018/3/23,http://www.56135.com/huoyuan/I6317031.html
云南红河,北京,水果,2018/3/23,http://www.56135.com/huoyuan/I6317007.html
四川眉山,北京,苹果,2018/3/23,http://www.56135.com/huoyuan/I6316904.html
河北唐山,北京,二甲苯,2018/3/23,http://www.56135.com/huoyuan/I6316890.html
辽宁沈阳,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6316828.html
广东湛江徐闻,北京,玉米,2018/3/23,http://www.56135.com/huoyuan/I6316786.html
陕西榆林神木,北京朝阳,重货,2018/3/23,http://www.56135.com/huoyuan/I6316737.html
辽宁盘锦,北京,烷几化,2018/3/23,http://www.56135.com/huoyuan/I6316612.html
辽宁盘锦,北京,烷基化,2018/3/23,http://www.56135.com/huoyuan/I6316001.html
宁夏,北京房山,货,2018/3/23,http://www.56135.com/huoyuan/I6315996.html
黑龙江牡丹江东宁,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6315929.html
广东东莞,北京,邮包,2018/3/23,http://www.56135.com/huoyuan/I6315799.html
内蒙古鄂尔多斯杭锦旗,北京,重烯烃,2018/3/23,http://www.56135.com/huoyuan/I6315750.html
河南漯河,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6315643.html
福建,北京,自有大板车、小板车多台,2018/3/23,http://www.56135.com/huoyuan/I6315538.html
上海,北京,板,2018/3/23,http://www.56135.com/huoyuan/I6315503.html
广东东莞,北京,香蕉,2018/3/23,http://www.56135.com/huoyuan/I6315284.html
广东东莞,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6315242.html
广东广州,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6315240.html
浙江杭州,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6315215.html
山东潍坊昌乐,北京房山,芳烃,2018/3/23,http://www.56135.com/huoyuan/I6315175.html
浙江宁波,北京,冻品,2018/3/23,http://www.56135.com/huoyuan/I6315125.html
浙江台州,北京,冻品,2018/3/23,http://www.56135.com/huoyuan/I6315124.html
河南南阳内乡,北京延庆,货,2018/3/23,http://www.56135.com/huoyuan/I6315112.html
福建漳州,北京,绿通,2018/3/23,http://www.56135.com/huoyuan/I6315106.html
辽宁盘锦,北京,烷基化,2018/3/23,http://www.56135.com/huoyuan/I6315027.html
广东广州,北京,普货,2018/3/23,http://www.56135.com/huoyuan/I6314933.html
新疆塔城乌苏,北京密云,棉壳,2018/3/23,http://www.56135.com/huoyuan/I6314803.html
新疆塔城乌苏,北京通州,棉壳,2018/3/23,http://www.56135.com/huoyuan/I6314801.html
辽宁盘锦,北京,汽油料,2018/3/23,http://www.56135.com/huoyuan/I6314743.html
辽宁盘锦,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6314714.html
四川成都,北京,冻品,2018/3/23,http://www.56135.com/huoyuan/I6314639.html
广东佛山,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6314617.html
广东深圳,北京,普货,2018/3/23,http://www.56135.com/huoyuan/I6314614.html
福建福州,北京,冻品,2018/3/23,http://www.56135.com/huoyuan/I6314596.html
浙江宁波,北京,普货,2018/3/23,http://www.56135.com/huoyuan/I6314581.html
广西南宁,北京,桔子,2018/3/22,http://www.56135.com/huoyuan/I6314548.html
黑龙江大庆,北京,危险品,2018/3/22,http://www.56135.com/huoyuan/I6314518.html
内蒙古赤峰,北京顺义,普货,2018/3/22,http://www.56135.com/huoyuan/I6314462.html
福建南平建瓯,北京,绿通,2018/3/23,http://www.56135.com/huoyuan/I6314423.html
广东中山,北京,邮包,2018/3/23,http://www.56135.com/huoyuan/I6314400.html
辽宁阜新,北京,普货,2018/3/23,http://www.56135.com/huoyuan/I6314390.html
辽宁盘锦,北京,烷基化,2018/3/23,http://www.56135.com/huoyuan/I6314374.html
辽宁盘锦,北京,干净货,2018/3/23,http://www.56135.com/huoyuan/I6314352.html
吉林,北京顺义,猪,2018/3/23,http://www.56135.com/huoyuan/I6314228.html
辽宁盘锦,北京,干净货,2018/3/23,http://www.56135.com/huoyuan/I6314209.html
黑龙江绥化青冈,北京通州,普货,2018/3/23,http://www.56135.com/huoyuan/I6314200.html
黑龙江绥化青冈,北京大兴,普货,2018/3/23,http://www.56135.com/huoyuan/I6314199.html
广东佛山,北京,快递,2018/3/23,http://www.56135.com/huoyuan/I6314149.html
广东东莞,北京,设备,2018/3/23,http://www.56135.com/huoyuan/I6314146.html
广东深圳,北京,水果,2018/3/23,http://www.56135.com/huoyuan/I6314133.html
福建漳州,北京,冻品,2018/3/23,http://www.56135.com/huoyuan/I6314113.html
辽宁盘锦,北京,烷基化,2018/3/23,http://www.56135.com/huoyuan/I6314057.html
黑龙江佳木斯,北京,猪,2018/3/23,http://www.56135.com/huoyuan/I6314040.html
黑龙江绥化肇东,北京,猪,2018/3/23,http://www.56135.com/huoyuan/I6314038.html
吉林长春农安,北京,猪,2018/3/23,http://www.56135.com/huoyuan/I6314030.html
广东湛江徐闻,北京,冻品,2018/3/23,http://www.56135.com/huoyuan/I6313959.html
浙江嘉兴,北京,水果,2018/3/23,http://www.56135.com/huoyuan/I6313941.html
上海,北京,水果,2018/3/23,http://www.56135.com/huoyuan/I6313939.html
黑龙江佳木斯,北京,猪,2018/3/23,http://www.56135.com/huoyuan/I6313673.html
广东珠海,北京,冻品,2018/3/23,http://www.56135.com/huoyuan/I6313509.html
河南洛阳,北京,猪,2018/3/23,http://www.56135.com/huoyuan/I6313415.html
黑龙江佳木斯,北京,猪,2018/3/23,http://www.56135.com/huoyuan/I6313389.html
宁夏银川,北京,普货,2018/3/23,http://www.56135.com/huoyuan/I6313365.html
