,idx,快递,名称,地址,name_lat,name_lng,lat,lng,是否有地址,wgs_lon,wgs_lat,x,y
2155,1064,天天快递,北京东直门天天快递,北京东直门天天快递,39.8747030660367,116.454695951865,39.8747030660367,116.454695951865,否,116.44190206920011,39.86762487077332,12962.253243539226,4846.724490897532
2156,125,天天快递,北京朝阳金盏天天快递,北京朝阳金盏天天快递,39.8747030660367,116.454695951865,39.8747030660367,116.454695951865,否,116.44190206920011,39.86762487077332,12962.253243539226,4846.724490897532
2157,124,天天快递,北京东城鼓楼站天天快递,北京东城鼓楼站天天快递,39.8655367002569,116.41658525796,39.8655367002569,116.41658525796,否,116.40393705732528,39.857829152198285,12958.026997749945,4845.303855688542
2158,1970,天天快递,北京市朝阳王四营天天快递,北京市朝阳区王四营乡南花园村315库房,39.8747030660367,116.454695951865,39.8872205849733,116.550360139268,是,116.53802954478783,39.88000467908401,12972.954105171402,4848.520176860447
2159,4349,天天快递,北京通州第二分公司天天快递,北京市通州区,39.9432230292335,116.738599067155,39.8098148838513,116.740079180676,是,116.72756296289676,39.80254024385792,12994.05286876066,4837.2893180163155
2160,5379,天天快递,北京市大兴西芦城天天快递,大兴区西芦城村东大街23号,39.758652287027,116.299014509102,39.7576218726991,116.299054763969,是,116.28658880730704,39.75010111645795,12944.963850314252,4829.693829620186
2161,304,天天快递,北京大兴天宫院天天快递,北京大兴天宫院天天快递,39.6846222769538,116.332578511414,39.6846222769538,116.332578511414,否,116.31990474650104,39.677601131327435,12948.672563700111,4819.202163722513
2162,305,天天快递,北京大兴建新庄天天快递,北京大兴建新庄天天快递,39.7648249830745,116.415661520523,39.7648249830745,116.415661520523,否,116.4030273958784,39.757116559486185,12957.925734700899,4830.7096386307085
2163,306,天天快递,北京大兴一部天天快递,北京大兴一部天天快递,39.6527901183644,116.425194597379,39.6527901183644,116.425194597379,否,116.41254689161805,39.64521938063951,12958.985440119099,4814.51967281703
2164,123,天天快递,北京朝阳常营天天快递,北京朝阳常营天天快递,39.8747030660367,116.454695951865,39.8747030660367,116.454695951865,否,116.44190206920011,39.86762487077332,12962.253243539226,4846.724490897532
2165,1964,天天快递,北京市朝阳四惠天天快递,北京市朝阳区王四营乡观音堂居民社区治安队北院,39.9257687783906,116.486341375726,39.8877047295819,116.54248176998,是,116.53017092697041,39.880346717072804,12972.07928783775,4848.569793927724
2166,4347,天天快递,北京通州工业区天天快递,北京市通州区,39.9432230292335,116.738599067155,39.8098148838513,116.740079180676,是,116.72756296289676,39.80254024385792,12994.05286876066,4837.2893180163155
2167,5380,天天快递,北京市大兴区兴业天天快递,大兴区欣荣北大街15号,39.6527901183644,116.425194597379,39.8024708663228,116.35178962284,是,116.33903046812583,39.79547444726875,12950.801629292142,4836.265542936186
2168,5401,宅急送快递,北京东城区宅急送快递,北京东城区宅急送快递,39.9385740129861,116.421884701264,39.9385740129861,116.421884701264,否,116.40924527913144,39.93093718582763,12958.617906298343,4855.911328398013
2169,3743,宅急送快递,怀柔区宅急送快递,北京市怀柔区庙城镇庙城村604号一层103门,40.6381393403109,116.593408356434,40.2992331756732,116.633188185019,是,116.62093625731531,40.29187749209918,12982.18323819202,4908.448216538665
2170,5356,宅急送快递,大兴区宅急送快递,大兴区宅急送快递,39.6527901183644,116.425194597379,39.6527901183644,116.425194597379,否,116.41254689161805,39.64521938063951,12958.985440119099,4814.51967281703
2171,5470,宅急送快递,丰台区宅急送快递,丰台区宅急送快递,39.8419378522047,116.258370335467,39.8419378522047,116.258370335467,否,116.24586590554783,39.834693095496114,12940.430597627423,4841.949327607444
2172,4892,宅急送快递,宣武区宅急送快递,宣武区宅急送快递,39.8915308751234,116.369352007797,39.8915308751234,116.369352007797,否,116.35659048071247,39.88428233230641,12952.756400951337,4849.140724009472
2173,5137,宅急送快递,昌平区宅急送快递,昌平区宅急送快递,40.2217235498323,116.216456356894,40.2217235498323,116.216456356894,否,116.20372011045234,40.21475401546892,12935.738949178967,4897.198998633453
