,公司,岗位,薪资,地址,经度,纬度,URL,low,hight,mean,区域
1227,华奥弘盛企业管理服务（北京）有限公司,打包员,4.3-5.2千/月,南彩镇双营村企业工业园区,116.300591,39.77988,https://jobs.51job.com/beijing-syq/108654213.html?s=01&t=0,4.3,5.2,4.75,顺义区
1228,华奥弘盛企业管理服务（北京）有限公司,大量招聘贴标员（管住宿）,4.3-5.2千/月,南彩镇双营村企业工业园区,116.300591,39.77988,https://jobs.51job.com/beijing-syq/108654180.html?s=01&t=0,4.3,5.2,4.75,顺义区
1229,华奥弘盛企业管理服务（北京）有限公司,打包员,4.3-5.2千/月,南彩镇双营村企业工业园区,116.300591,39.77988,https://jobs.51job.com/beijing-syq/108654314.html?s=01&t=0,4.3,5.2,4.75,顺义区
1230,华奥弘盛企业管理服务（北京）有限公司,分拣员,4.3-5.2千/月,南彩镇双营村企业工业园区,116.300591,39.77988,https://jobs.51job.com/beijing-syq/108654421.html?s=01&t=0,4.3,5.2,4.75,顺义区
1231,华奥弘盛企业管理服务（北京）有限公司,库房大量招聘贴标员（管住宿）,4.3-5.2千/月,南彩镇双营村企业工业园区,116.300591,39.77988,https://jobs.51job.com/beijing-syq/108654277.html?s=01&t=0,4.3,5.2,4.75,顺义区
1232,华奥弘盛企业管理服务（北京）有限公司,分拣员,4.3-5.2千/月,南彩镇双营村企业工业园区,116.300591,39.77988,https://jobs.51job.com/beijing-syq/108654389.html?s=01&t=0,4.3,5.2,4.75,顺义区
1233,华奥弘盛企业管理服务（北京）有限公司,管住宿招聘贴标员（仓储）,4.3-5.2千/月,南彩镇双营村企业工业园区,116.300591,39.77988,https://jobs.51job.com/beijing-syq/108654668.html?s=01&t=0,4.3,5.2,4.75,顺义区
1234,华奥弘盛企业管理服务（北京）有限公司,包装工,4.3-5.2千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/108653852.html?s=01&t=0,4.3,5.2,4.75,顺义区
1235,华奥弘盛企业管理服务（北京）有限公司,理货员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109228464.html?s=01&t=0,6.0,8.0,7.0,顺义区
1236,华奥弘盛企业管理服务（北京）有限公司,打包员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109228476.html?s=01&t=0,6.0,8.0,7.0,顺义区
1237,华奥弘盛企业管理服务（北京）有限公司,仓库主管,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109228482.html?s=01&t=0,6.0,8.0,7.0,顺义区
1240,华奥弘盛企业管理服务（北京）有限公司,理货员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109329508.html?s=01&t=0,6.0,8.0,7.0,顺义区
1241,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109330253.html?s=01&t=0,6.0,8.0,7.0,顺义区
1242,华奥弘盛企业管理服务（北京）有限公司,打包员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109330059.html?s=01&t=0,6.0,8.0,7.0,顺义区
1243,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109331028.html?s=01&t=0,6.0,8.0,7.0,顺义区
1244,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109330986.html?s=01&t=0,6.0,8.0,7.0,顺义区
1245,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109331059.html?s=01&t=0,6.0,8.0,7.0,顺义区
1246,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109330799.html?s=01&t=0,6.0,8.0,7.0,顺义区
1247,华奥弘盛企业管理服务（北京）有限公司,普工,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109330873.html?s=01&t=0,6.0,8.0,7.0,顺义区
1250,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109349993.html?s=01&t=0,6.0,8.0,7.0,顺义区
1251,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109350066.html?s=01&t=0,6.0,8.0,7.0,顺义区
1253,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109350121.html?s=01&t=0,6.0,8.0,7.0,顺义区
1255,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109350011.html?s=01&t=0,6.0,8.0,7.0,顺义区
1263,华奥弘盛企业管理服务（北京）有限公司,打包员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109349905.html?s=01&t=0,6.0,8.0,7.0,顺义区
1264,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109350188.html?s=01&t=0,6.0,8.0,7.0,顺义区
1265,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109350172.html?s=01&t=0,6.0,8.0,7.0,顺义区
1267,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109350148.html?s=01&t=0,6.0,8.0,7.0,顺义区
1268,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109350231.html?s=01&t=0,6.0,8.0,7.0,顺义区
1269,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109350207.html?s=01&t=0,6.0,8.0,7.0,顺义区
1270,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109350199.html?s=01&t=0,6.0,8.0,7.0,顺义区
1271,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109350982.html?s=01&t=0,6.0,8.0,7.0,顺义区
1276,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109350963.html?s=01&t=0,6.0,8.0,7.0,顺义区
1277,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109350960.html?s=01&t=0,6.0,8.0,7.0,顺义区
1278,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109350991.html?s=01&t=0,6.0,8.0,7.0,顺义区
1279,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109351001.html?s=01&t=0,6.0,8.0,7.0,顺义区
1280,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109351014.html?s=01&t=0,6.0,8.0,7.0,顺义区
1281,华奥弘盛企业管理服务（北京）有限公司,分拣员,6-8千/月,顺义白马路工业园,116.585761,40.182285,https://jobs.51job.com/beijing-syq/109351008.html?s=01&t=0,6.0,8.0,7.0,顺义区
1282,北京多来点信息技术有限公司,仓库主管,4-5千/月,新发地,116.348851,39.817618,https://jobs.51job.com/beijing-ftq/86367126.html?s=01&t=0,4.0,5.0,4.5,丰台区
1283,中国盲文出版社,库房统计员岗,3-6千/月,卢沟桥城内街39号,116.235068,39.85855,https://jobs.51job.com/beijing-ftq/108192374.html?s=01&t=0,3.0,6.0,4.5,丰台区
1288,北京通厦投资开发集团有限公司,仓库主管,4-4.5千/月,北京市海淀区西三旗桥南300米路西侧通厦集团,116.336748,40.055272,https://jobs.51job.com/beijing-hdq/105470604.html?s=01&t=0,4.0,4.5,4.25,海淀区
1291,东莞中外运供应链管理有限公司,客服,3-4.5千/月,北京市大兴区黄村镇天河北路9号百利威物流3号库,116.348583,39.69734,https://jobs.51job.com/beijing-dxq/97416981.html?s=01&t=0,3.0,4.5,3.75,大兴区
1292,敦豪物流（北京）有限公司,ACLP现场调度,3-5千/月,机场北街10号院航港物流园,116.606185,40.119742,https://jobs.51job.com/beijing-syq/107942908.html?s=01&t=0,3.0,5.0,4.0,顺义区
1293,敦豪物流（北京）有限公司,仓库操作组长,3-4.5千/月,机场北街10号院航港物流园,116.606185,40.119742,https://jobs.51job.com/beijing-syq/107764607.html?s=01&t=0,3.0,4.5,3.75,顺义区
1294,敦豪物流（北京）有限公司,仓库主管,3.5-4.5千/月,经海二路金田工业园,116.538635,39.812498,https://jobs.51job.com/beijing-dxq/106122000.html?s=01&t=0,3.5,4.5,4.0,大兴区
