公司名称,岗位,所属岗位,薪资,平均薪资（千/月）,地址,所属城区,经度,纬度
天津市泰和祥商贸有限公司,装卸工,仓库管理员,4.5-6千/月,5.25,李明庄学校旁,东丽区,39.16561,117.320416
杰尼亚（中国）企业管理有限公司,Zegna-Stock Keeper仓库管理员,仓库管理员,,,天津市武清区前进道北侧佛罗伦萨小镇、32号,武清区,39.382564,117.024431
天津天石休闲用品有限公司,库工,仓库管理员,3-4.5千/月,3.75,东丽开发区1经路11号,东丽区,39.082474,117.356803
天津滨海澳泰防水材料有限公司,库工,仓库管理员,3.5-6千/月,4.75,天津开发区西区中南三街99号,滨海新区,39.045952,117.695272
深圳市安泰科建筑技术有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,北环工业园砖厂路安泰科,河北区,38.960859,116.949462
天津菲斯柯科技有限公司,物流调度,调度员,3-4.5千/月,3.75,第十三大街,滨海新区,39.092065,117.702109
上海上嘉供应链管理有限公司,仓储主管,仓库主管,5-7千/月,6,天津市武清开发区泉秀路20号（丰树天津武清物流园）,武清区,,
百世物流科技（中国）有限公司,高级驻场订单专员,仓库管理员,3-4.5千/月,3.75,天津,河北区,39.090908,117.205914
天津市康科德科技有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天津市武清区梅厂镇福源经济区发源路2号,武清区,39.369279,117.199695
川崎振华物流（天津）有限公司,理货员 /叉车司机（工作地点：天津保税）,仓库理货员,3-4.5千/月,3.75,天津港保税区海滨三路92号,滨海新区,39.020317,117.764816
狮迈（上海）贸易有限公司,仓库操作工,仓库管理员,3.5-5千/月,4.25,普洛斯物流园,西青区,117.692186,117.692186
恒银金融科技股份有限公司,仓库管理员,仓库管理员,3-5千/月,4,天津自贸区空港经济区西八道30号,东丽区,39.160424,117.420079
上海裕络物流有限公司,物流操作员,仓库管理员,3-4.5千/月,3.75,翠源道2号普洛斯物流园内,西青区,38.99595,117.265205
天津耳朵眼餐饮管理有限公司,物流中心库管,仓库管理员,2-3千/月,2.5,西青大寺友谊南路延长线201号,西青区,39.035994,117.218505
百和仕（天津）展览展示有限公司,库房主管/管理员,仓库主管,5-8千/月,6.5,马家店工业区盛泰道南侧,宝坻区,39.654877,117.280231
天津大富班尼路服饰有限公司,物流部（送货员）,仓库管理员,2-3千/月,2.5,#N/A,#N/A,39.093669,117.20952
天津象屿速传物流有限公司,仓管员（滨海新区）,仓库管理员,3.5-5千/月,4.25,杨北建材市场,滨海新区,39.116048,117.692134
天津市泰斯特仪器有限公司,仓库管理文员,仓储管理文员,3-4千/月,3.5,杨成庄乡北洋工业园,津南区,38.998032,117.069707
上海中智医疗器械有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,0,河北区,,
丰利和（天津）进出口有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,金钟河大街金钟路广告大院甲1,河北区,,
嘉得力智诚（天津）环保科技有限公司,仓库管理员,仓库管理员,2-4千/月,3,天津市东丽区华明大道21号,东丽区,39.171128,117.362879
天津长荣科技集团股份有限公司,仓库经理,仓储经理,1-2万/月,15,双辰中路11号,北辰区,39.271438,117.130944
北京万里伟业物流有限公司,装卸工,仓库管理员,5-8千/月,6.5,天津市北辰区西提头镇陆路港物流装备产业园22号库,北辰区,39.262667,117.338623
天津市鑫源包装有限公司,发货员（天津--静海区),仓库管理员,3-4.5千/月,3.75,天津市静海区 杨家园开发区,静海县,38.860073,116.941179
和通汽车（天津和凌雷克萨斯汽车销售服务有限公司）,零件库房专员—五险一金,仓库管理员,4.5-6千/月,5.25,赛达三大道与四支路交口,西青区,38.982834,117.274713
天津圣象家居有限公司,调度员,调度员,3-4.5千/月,3.75,天津市河西区环渤海建材大厦1215,河西区,39.076783,117.240147
海尔区域四网融合公司,仓库管理员,仓库管理员,3.5-5千/月,4.25,八里台镇泰达工业园海尔创业产业园海尔仓库,津南区,,
瑞康医药（天津）有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,津南双港慧科路1号,津南区,39.014201,117.311312
上海鲲驰贸易发展有限公司,库工(职位编号：lujiekunchi000404),仓库管理员,3-4.5千/月,3.75,天津市北辰区高新大道69号沃尔玛三期3号库（华泰道北门）,北辰区,,
天津微纳芯科技有限公司,仓库主管,仓库主管,5-7千/月,6,天津-滨海新区,滨海新区,39.009513,117.71711
天津智易时代科技发展有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,海泰发展六道海泰绿色产业基地K1-5-602,西青区,39.083998,117.099015
图尔克（天津）传感器有限公司,库工,仓库管理员,2-4千/月,3,天津市西青开发区兴华四支路18号,西青区,39.025715,117.234402
天津精致新娘婚礼服务有限公司,库房主管,仓库主管,3-4.5千/月,3.75,津涞公路与蔡台路金旺佳园北门,西青区,39.062203,117.166329
天津中铁青源国际货运代理有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,东疆保税港区亚洲路6975号金融贸易中心南区,滨海新区,,
固诺（天津）实业有限公司,库工,仓库管理员,3-4万/年,2.9,天津市武清区汊沽港镇自行车王国福远路112号,武清区,39.263895,116.95892
天津博瑞康机械制造有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,北辰科技园景祥路9号中重科技前行500米,北辰区,39.236841,117.273543
天津圣象木业有限公司,调度员,调度员,3-4.5千/月,3.75,东丽开发区先锋东路与二经路交口,东丽区,39.082579,117.365966
天津市高仕电动车有限公司,仓库管理员,仓库管理员,3.5-5千/月,4.25,天津市北辰区双口工业园永保路7号,北辰区,39.245945,117.037583
北京诺禾致源科技股份有限公司,IVD-库房管理员,仓库管理员,4.5-6千/月,5.25,天津市武清区创业总部B07/B08/B09栋,武清区,39.410621,117.062184
天津轩威商贸有限公司,仓库管理员,仓库管理员,4.5-6千/月,5.25,金钟公路1501号大毕庄鑫汇洋行政区3楼,东丽区,39.201638,117.26437
瑞杰新材料科技股份有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,津南八里台工业园建设四支路11号E座,津南区,38.964751,117.345809
天津安达集团股份有限公司,仓库材料管理,仓库管理员,2-3千/月,2.5,天津市东丽开发区四纬路13号,东丽区,39.079755,117.369011
中航百慕新材料技术工程股份有限公司,调度员,调度员,4.5-6千/月,5.25,塘沽开发区夏青路与中南二街交口,东丽区,39.045761,117.719938
天津市一广人力资源服务有限公司,仓库管理员,仓库管理员,3-5千/月,4,华苑,宝坻区,39.093449,117.135027
天津橙宝鲜橙汁有限公司,仓库经理,仓储经理,4.5-6千/月,5.25,天津静海经济开发区聚海道16号,静海县,38.93821,116.968401
